"speciesScientificName","type","projectID"
"Huetia leucorhina","C","TEAMS_NNN"
"Poiana richardsonii","C","TEAMS_NNN"
"Galagoides demidoff","C","TEAMS_NNN"
"Galagoides thomasi","C","TEAMS_NNN"
"Sciurocheirus gabonensis","C","TEAMS_NNN"
"Cricetomys emini","C","TEAMS_NNN"
"Gorilla gorilla","C","TEAMS_NNN"
"Cercopithecus neglectus","C","TEAMS_NNN"
"Hylomyscus walterverheyeni","C","TEAMS_NNN"
"Phataginus tetradactyla","C","TEAMS_NNN"
"Lophocebus albigena","C","TEAMS_NNN"
"Colobus guereza","C","TEAMS_NNN"
"Genetta maculata","C","TEAMS_NNN"
"Anomalurus derbianus","C","TEAMS_NNN"
"Crossarchus platycephalus","C","TEAMS_NNN"
"Aonyx congicus","C","TEAMS_NNN"
"Hydrictis maculicollis","C","TEAMS_NNN"
"Potamogale velox","C","TEAMS_NNN"
"Thryonomys swinderianus","C","TEAMS_NNN"
"Tapirus indicus","A","TEAMS_PSH"
"Cuon alpinus","A","TEAMS_PSH"
"Helarctos malayanus","A","TEAMS_PSH"
"Capricornis sumatraensis","A","TEAMS_PSH"
"Prionailurus planiceps","A","TEAMS_PSH"
"Viverra megaspila","A","TEAMS_PSH"
"Herpestes urva","A","TEAMS_PSH"
"Macaca fascicularis","B","TEAMS_PSH"
"Macaca nemestrina","B","TEAMS_PSH"
"Sus scrofa","B","TEAMS_PSH"
