"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Phataginus tricuspis","C","TEAMS_VIR","S",1,2066.67,1,0,1,-999,-999
"Canis lupaster","C","TEAMS_VIR","G",1,32183.33,1,0,4.98,-999,-999
"Aonyx congicus","C","TEAMS_VIR","G",2,18999.84,1,0,2.62,-999,-999
"Herpailurus yagouaroundi","A","TEAMS_YAN","G",3,6875,0,1,2.5,-999,-999
"Lagothrix lagothricha","C","TEAMS_YAN","Ar",4,6299.99,0,1,1.01,-999,33
"Euryoryzomys macconnelli","C","TEAMS_YAN","G",4,58,1,1,-999,-999,1
"Plecturocebus discolor","C","TEAMS_YAN","Ar",3,1005,0,1,-999,-999,-999
"Marmosa regina","C","TEAMS_YAN","S",2,118.6,1,0,-999,-999,-999
"Pithecia inusta","C","TEAMS_YAN","Ar",4,1375.5,0,1,1.01,-999,2.7
"Hylaeamys yunganus","C","TEAMS_YAN","G",4,60.5,1,1,-999,-999,-999
"Leontocebus leucogenys","C","TEAMS_YAN","Ar",3,387,0,1,1.83,-999,6
"Monodelphis peruviana","C","TEAMS_YAN","G",5,35,1,0,-999,-999,-999
"Euryoryzomys nitidus","C","TEAMS_YAN","G",4,55.2,1,1,-999,-999,1
"Mazama nemorivaga","B","TEAMS_YAS","G",3,16633.17,1,1,1,-999,1
"Herpailurus yagouaroundi","B","TEAMS_YAS","G",3,6875,0,1,2.5,-999,-999
"Saimiri cassiquiarensis","C","TEAMS_YAS","Ar",5,743.24,0,1,1,-999,34.85
"Euryoryzomys macconnelli","C","TEAMS_YAS","G",4,58,1,1,-999,-999,1
"Cebus yuracus","C","TEAMS_YAS","Ar",6,2629,0,1,1.01,-999,25
"Plecturocebus discolor","C","TEAMS_YAS","Ar",3,1005,0,1,-999,-999,-999
"Cebuella pygmaea","C","TEAMS_YAS","Ar",3,125,0,1,1.93,-999,6
"Marmosa regina","C","TEAMS_YAS","S",2,118.6,1,0,-999,-999,-999
"Pattonomys occasius","C","TEAMS_YAS","S",2,322.29,1,0,-999,-999,-999
"Pithecia napensis","C","TEAMS_YAS","Ar",4,1537.52,0,1,1.02,-999,2.5
"Hylaeamys yunganus","C","TEAMS_YAS","G",4,60.5,1,1,-999,-999,-999
"Alouatta juara","C","TEAMS_YAS","Ar",2,6145.54,0,1,1.42,-999,7.9
"Coendou ichillus","C","TEAMS_YAS","Ar",2,1242.24,1,0,-999,-999,-999
"Leontocebus tripartitus","C","TEAMS_YAS","Ar",3,393.5,0,1,-999,-999,-999
