"speciesScientificName","type","projectID","ForStrat.Value","diet.breadth","BodyMass.Value","Activity.Nocturnal","Activity.Diurnal","X15.1_LitterSize","X10.1_PopulationGrpSize","X10.2_SocialGrpSize"
"Philantomba monticola","C","TEAMS_BIF","G",3,4896.05,1,0,0.98,-999,1.9
"Syncerus caffer","C","TEAMS_BIF","G",1,580002.68,1,0,1.08,3000,12
"Phacochoerus africanus","C","TEAMS_BIF","G",3,82500,1,0,-999,-999,-999
"Ictonyx striatus","C","TEAMS_BIF","G",4,1299.99,1,0,2.3,-999,-999
"Otolemur crassicaudatus","C","TEAMS_BIF","Ar",3,1500,1,0,1.14,-999,3.5
"Cricetomys emini","C","TEAMS_BIF","G",4,1299.99,1,0,0.97,-999,-999
"Hystrix cristata","C","TEAMS_BIF","G",2,16250,1,0,1.73,-999,-999
"Damaliscus lunatus","C","TEAMS_BIF","G",1,136000.34,0,1,0.98,-999,3.6
"Hylochoerus meinertzhageni","C","TEAMS_BIF","G",1,188500,1,0,4,-999,10
"Lophocebus albigena","C","TEAMS_BIF","Ar",2,7690.06,0,1,1.01,17,16
"Herpestes ichneumon","C","TEAMS_BIF","G",5,5174.98,1,1,3,-999,-999
"Thryonomys gregorianus","C","TEAMS_BIF","G",3,2707.14,1,0,2.91,-999,1
"Genetta maculata","C","TEAMS_BIF","Ar",3,2225,1,0,2.12,-999,-999
"Anomalurus derbianus","C","TEAMS_BIF","Ar",4,649.99,1,0,1,-999,1
"Procavia capensis","C","TEAMS_BIF","G",1,3029.98,0,1,2.5,47,17
"Sylvicapra grimmia","C","TEAMS_BIF","G",3,19499.79,1,0,0.98,-999,1
"Crocuta crocuta","C","TEAMS_BIF","G",1,66492.06,1,0,1.91,-999,-999
"Mungos mungo","C","TEAMS_BIF","G",2,1925,0,1,2.68,-999,-999
"Hydrictis maculicollis","C","TEAMS_BIF","G",3,4180.53,1,1,2,-999,-999
"Potamogale velox","C","TEAMS_BIF","G",3,659.99,1,0,2.5,1,1
"Thryonomys swinderianus","C","TEAMS_BIF","G",3,3180.02,1,0,3.88,-999,1
"Metachirus nudicaudatus","A","TEAMS_CAX","S",5,375,1,0,3.87,-999,1
"Atelocynus microtis","A","TEAMS_CAX","G",2,7749.97,1,0,-999,-999,1
"Cebus apella","A","TEAMS_CAX","Ar",6,2500,0,1,1.05,-999,7.9
"Mazama nana","A","TEAMS_CAX","G",2,16499.85,1,1,-999,-999,-999
"Mazama americana","B","TEAMS_CAX","G",2,22799.75,1,1,1.22,-999,1
"Didelphis marsupialis","B","TEAMS_CAX","S",4,1091.16,1,0,7.09,-999,1
"Eira barbara","B","TEAMS_CAX","G",2,3910.03,1,1,2.14,-999,-999
"Leopardus pardalis","B","TEAMS_CAX","G",3,11900.08,1,0,1.66,-999,-999
"Tapirus terrestris","B","TEAMS_CAX","G",1,207500.91,1,0,1,-999,1
"Puma concolor","B","TEAMS_CAX","G",1,51600.04,1,1,2.76,-999,1
"Pecari tajacu","B","TEAMS_CAX","G",4,21266.69,1,0,1.56,11.65,20
"Dasypus kappleri","B","TEAMS_CAX","G",1,9500,1,0,4.47,-999,1
"Dasypus novemcinctus","B","TEAMS_CAX","G",1,4203.78,1,0,3.96,-999,1
"Myrmecophaga tridactyla","B","TEAMS_CAX","G",1,22333.15,1,1,1,1,1
"Tamandua tetradactyla","B","TEAMS_CAX","S",1,5515.06,1,1,1,-999,1
"Leopardus wiedii","B","TEAMS_CAX","S",2,3249.97,1,0,1.5,-999,-999
"Panthera onca","B","TEAMS_CAX","G",3,1e+05,1,1,1.96,1,1
"Nasua nasua","B","TEAMS_CAX","S",3,3793.85,0,1,3.69,-999,-999
"Cabassous unicinctus","B","TEAMS_CAX","G",1,4799.99,1,0,1,-999,1
"Priodontes maximus","B","TEAMS_CAX","G",2,45359.68,1,0,1.5,-999,1
"Tayassu pecari","B","TEAMS_CAX","G",5,32233.69,1,0,2,102.5,102.5
"Coendou prehensilis","C","TEAMS_CAX","Ar",2,4399.97,1,0,0.98,-999,1
"Dasypus septemcinctus","C","TEAMS_CAX","G",1,1526.65,1,0,5.99,-999,-999
"Sciurus gilvigularis","C","TEAMS_CAX","Ar",3,803.01,0,1,-999,-999,-999
"Myoprocta pratti","C","TEAMS_CAX","G",3,966.73,0,1,1.77,-999,-999
"Mustela africana","C","TEAMS_CAX","G",2,536.99,1,1,-999,-999,-999
"Alouatta belzebul","C","TEAMS_CAX","Ar",2,6400,0,1,-999,-999,7.4
"Cuniculus paca","C","TEAMS_CAX","G",3,8172.55,1,0,1.01,-999,1
"Euphractus sexcinctus","C","TEAMS_CAX","G",2,4782.89,1,1,1.73,-999,1
"Echimys chrysurus","C","TEAMS_CAX","Ar",2,652.5,1,0,1.94,-999,1
"Leopardus tigrinus","C","TEAMS_CAX","S",1,2250,1,1,-999,-999,-999
"Aotus azarae","C","TEAMS_CAX","Ar",6,929.57,1,0,1,-999,4.1
"Choloepus didactylus","C","TEAMS_CAX","Ar",2,5160,1,0,1,-999,1
"Bradypus variegatus","C","TEAMS_CAX","Ar",1,4335.01,1,1,1,-999,1
"Speothos venaticus","C","TEAMS_CAX","G",1,5999.98,0,1,3.8,-999,-999
"Potos flavus","C","TEAMS_CAX","Ar",3,3000,1,0,1.11,-999,1
"Galictis vittata","C","TEAMS_CAX","G",5,3200,1,1,-999,-999,-999
"Philander opossum","C","TEAMS_CAX","S",5,585.5,1,1,4.75,-999,1
"Chiropotes utahickae","C","TEAMS_CAX","Ar",3,2949.58,0,1,-999,-999,-999
"Coendou nycthemera","C","TEAMS_CAX","Ar",2,2999.98,1,0,-999,-999,-999
"Hydrochoerus hydrochaeris","C","TEAMS_CAX","G",2,48144.91,0,1,3.49,-999,10
"Lontra longicaudis","C","TEAMS_CAX","G",3,6554.96,1,0,3.69,-999,-999
"Pteronura brasiliensis","C","TEAMS_CAX","G",2,23999.93,0,1,2.12,-999,-999
"Procyon cancrivorus","C","TEAMS_CAX","G",5,6949.92,1,0,2.62,-999,-999
"Dasypus kappleri","A","TEAMS_COU","G",1,9500,1,0,4.47,-999,1
"Sylvilagus brasiliensis","A","TEAMS_COU","G",1,949.99,1,0,1.9,-999,1
"Cebus albifrons","A","TEAMS_COU","Ar",6,2629,0,1,1.01,-999,25
"Cebus apella","A","TEAMS_COU","Ar",6,2500,0,1,1.05,-999,7.9
"Monodelphis glirina","A","TEAMS_COU","G",5,61.54,1,0,-999,-999,-999
"Saguinus fuscicollis","A","TEAMS_COU","Ar",3,387,0,1,1.83,-999,6
"Saimiri sciureus","A","TEAMS_COU","Ar",5,743.24,0,1,1,-999,34.85
"Didelphis virginiana","A","TEAMS_COU","S",4,2195.48,1,0,8.62,-999,1
"Mazama americana","B","TEAMS_COU","G",2,22799.75,1,1,1.22,-999,1
"Leopardus pardalis","B","TEAMS_COU","G",3,11900.08,1,0,1.66,-999,-999
"Pecari tajacu","B","TEAMS_COU","G",4,21266.69,1,0,1.56,11.65,20
"Panthera onca","B","TEAMS_COU","G",3,1e+05,1,1,1.96,1,1
"Tapirus terrestris","B","TEAMS_COU","G",1,207500.91,1,0,1,-999,1
"Myrmecophaga tridactyla","B","TEAMS_COU","G",1,22333.15,1,1,1,1,1
"Priodontes maximus","B","TEAMS_COU","G",2,45359.68,1,0,1.5,-999,1
"Dasypus novemcinctus","B","TEAMS_COU","G",1,4203.78,1,0,3.96,-999,1
"Puma concolor","B","TEAMS_COU","G",1,51600.04,1,1,2.76,-999,1
"Tayassu pecari","B","TEAMS_COU","G",5,32233.69,1,0,2,102.5,102.5
"Didelphis marsupialis","B","TEAMS_COU","S",4,1091.16,1,0,7.09,-999,1
"Nasua nasua","B","TEAMS_COU","S",3,3793.85,0,1,3.69,-999,-999
"Tamandua tetradactyla","B","TEAMS_COU","S",1,5515.06,1,1,1,-999,1
"Atelocynus microtis","B","TEAMS_COU","G",2,7749.97,1,0,-999,-999,1
"Procyon cancrivorus","B","TEAMS_COU","G",5,6949.92,1,0,2.62,-999,-999
"Leopardus wiedii","B","TEAMS_COU","S",2,3249.97,1,0,1.5,-999,-999
"Eira barbara","B","TEAMS_COU","G",2,3910.03,1,1,2.14,-999,-999
"Saimiri boliviensis","B","TEAMS_COU","Ar",5,615.01,0,1,1.02,-999,60
"Philander opossum","B","TEAMS_COU","S",5,585.5,1,1,4.75,-999,1
"Pteronura brasiliensis","B","TEAMS_COU","G",2,23999.93,0,1,2.12,-999,-999
"Leopardus tigrinus","B","TEAMS_COU","S",1,2250,1,1,-999,-999,-999
"Ateles chamek","B","TEAMS_COU","Ar",5,5999.98,0,1,-999,-999,-999
"Lontra longicaudis","B","TEAMS_COU","G",3,6554.96,1,0,3.69,-999,-999
"Pithecia irrorata","C","TEAMS_COU","Ar",4,2240.99,0,1,-999,-999,4.4
"Coendou prehensilis","C","TEAMS_COU","Ar",2,4399.97,1,0,0.98,-999,1
"Mazama chunyi","C","TEAMS_COU","G",2,16499.85,1,1,1.5,-999,-999
"Mustela africana","C","TEAMS_COU","G",2,536.99,1,1,-999,-999,-999
"Alouatta seniculus","C","TEAMS_COU","Ar",2,6145.54,0,1,1.42,-999,7.9
"Cuniculus paca","C","TEAMS_COU","G",3,8172.55,1,0,1.01,-999,1
"Sciurus igniventris","C","TEAMS_COU","Ar",3,700,0,1,-999,-999,1
"Dactylomys boliviensis","C","TEAMS_COU","Ar",1,728.8,1,0,-999,-999,-999
"Choloepus hoffmanni","C","TEAMS_COU","Ar",2,4750.01,1,0,1,-999,1
"Odocoileus virginianus","C","TEAMS_COU","G",2,55508.56,1,0,1.57,-999,2.25
"Bradypus variegatus","C","TEAMS_COU","Ar",1,4335.01,1,1,1,-999,1
"Cabassous unicinctus","C","TEAMS_COU","G",1,4799.99,1,0,1,-999,1
"Speothos venaticus","C","TEAMS_COU","G",1,5999.98,0,1,3.8,-999,-999
"Potos flavus","C","TEAMS_COU","Ar",3,3000,1,0,1.11,-999,1
"Aotus nigriceps","C","TEAMS_COU","Ar",6,1060.01,1,0,-999,-999,3.3
"Bassaricyon alleni","C","TEAMS_COU","Ar",3,1235.01,1,0,-999,-999,-999
"Galictis vittata","C","TEAMS_COU","G",5,3200,1,1,-999,-999,-999
"Coendou bicolor","C","TEAMS_COU","Ar",2,4050.05,1,0,1,-999,2
"Dinomys branickii","C","TEAMS_COU","G",2,12500,1,0,1.97,-999,-999
"Chironectes minimus","C","TEAMS_COU","G",3,946,1,0,3.24,-999,1
"Hydrochoerus hydrochaeris","C","TEAMS_COU","G",2,48144.91,0,1,3.49,-999,10
"Metachirus nudicaudatus","A","TEAMS_CSN","S",5,375,1,0,3.87,-999,1
"Marmosa murina","A","TEAMS_CSN","Ar",5,26,1,0,8.4,-999,1
"Monodelphis brevicaudata","A","TEAMS_CSN","G",5,69.63,1,0,7.24,-999,1
"Puma concolor","B","TEAMS_CSN","G",1,51600.04,1,1,2.76,-999,1
"Pecari tajacu","B","TEAMS_CSN","G",4,21266.69,1,0,1.56,11.65,20
"Mazama americana","B","TEAMS_CSN","G",2,22799.75,1,1,1.22,-999,1
"Dasypus novemcinctus","B","TEAMS_CSN","G",1,4203.78,1,0,3.96,-999,1
"Myrmecophaga tridactyla","B","TEAMS_CSN","G",1,22333.15,1,1,1,1,1
"Leopardus pardalis","B","TEAMS_CSN","G",3,11900.08,1,0,1.66,-999,-999
"Priodontes maximus","B","TEAMS_CSN","G",2,45359.68,1,0,1.5,-999,1
"Dasypus kappleri","B","TEAMS_CSN","G",1,9500,1,0,4.47,-999,1
"Tapirus terrestris","B","TEAMS_CSN","G",1,207500.91,1,0,1,-999,1
"Leopardus wiedii","B","TEAMS_CSN","S",2,3249.97,1,0,1.5,-999,-999
"Philander opossum","B","TEAMS_CSN","S",5,585.5,1,1,4.75,-999,1
"Panthera onca","B","TEAMS_CSN","G",3,1e+05,1,1,1.96,1,1
"Didelphis marsupialis","B","TEAMS_CSN","S",4,1091.16,1,0,7.09,-999,1
"Nasua nasua","B","TEAMS_CSN","S",3,3793.85,0,1,3.69,-999,-999
"Tayassu pecari","B","TEAMS_CSN","G",5,32233.69,1,0,2,102.5,102.5
"Eira barbara","B","TEAMS_CSN","G",2,3910.03,1,1,2.14,-999,-999
"Tamandua tetradactyla","B","TEAMS_CSN","S",1,5515.06,1,1,1,-999,1
"Odocoileus virginianus","B","TEAMS_CSN","G",2,55508.56,1,0,1.57,-999,2.25
"Procyon cancrivorus","B","TEAMS_CSN","G",5,6949.92,1,0,2.62,-999,-999
"Saimiri sciureus","B","TEAMS_CSN","Ar",5,743.24,0,1,1,-999,34.85
"Leopardus tigrinus","B","TEAMS_CSN","S",1,2250,1,1,-999,-999,-999
"Speothos venaticus","B","TEAMS_CSN","G",1,5999.98,0,1,3.8,-999,-999
"Cabassous unicinctus","B","TEAMS_CSN","G",1,4799.99,1,0,1,-999,1
"Coendou prehensilis","C","TEAMS_CSN","Ar",2,4399.97,1,0,0.98,-999,1
"Lutreolina crassicaudata","C","TEAMS_CSN","S",4,537.3,1,0,7.71,-999,-999
"Alouatta macconnelli","C","TEAMS_CSN","Ar",2,6320.06,0,1,-999,-999,-999
"Mustela africana","C","TEAMS_CSN","G",2,536.99,1,1,-999,-999,-999
"Chiropotes chiropotes","C","TEAMS_CSN","Ar",3,2949.58,0,1,-999,-999,-999
"Pithecia pithecia","C","TEAMS_CSN","Ar",4,1375.5,0,1,1.01,-999,2.7
"Didelphis imperfecta","C","TEAMS_CSN","S",2,1260.04,1,0,-999,-999,-999
"Cuniculus paca","C","TEAMS_CSN","G",3,8172.55,1,0,1.01,-999,1
"Cavia aperea","C","TEAMS_CSN","G",1,549,0,0,2.14,-999,-999
"Myoprocta acouchy","C","TEAMS_CSN","G",3,600,0,1,1.97,-999,2
"Ateles paniscus","C","TEAMS_CSN","Ar",5,7900.05,0,1,1,-999,20
"Echimys chrysurus","C","TEAMS_CSN","Ar",2,652.5,1,0,1.94,-999,1
"Choloepus didactylus","C","TEAMS_CSN","Ar",2,5160,1,0,1,-999,1
"Dasyprocta leporina","C","TEAMS_CSN","G",3,3020.02,0,1,1.4,-999,-999
"Potos flavus","C","TEAMS_CSN","Ar",3,3000,1,0,1.11,-999,1
"Galictis vittata","C","TEAMS_CSN","G",5,3200,1,1,-999,-999,-999
"Bradypus tridactylus","C","TEAMS_CSN","Ar",1,3849.99,1,1,1,-999,1
"Saguinus midas","C","TEAMS_CSN","Ar",3,540,0,1,2.02,-999,5.55
"Cerdocyon thous","C","TEAMS_CSN","G",3,5239.98,1,0,3.09,-999,-999
"Chironectes minimus","C","TEAMS_CSN","G",3,946,1,0,3.24,-999,1
"Hydrochoerus hydrochaeris","C","TEAMS_CSN","G",2,48144.91,0,1,3.49,-999,10
"Lontra longicaudis","C","TEAMS_CSN","G",3,6554.96,1,0,3.69,-999,-999
"Pteronura brasiliensis","C","TEAMS_CSN","G",2,23999.93,0,1,2.12,-999,-999
"Genetta servalina","A","TEAMS_KRP","Ar",3,1054.99,1,0,1.5,-999,-999
"Crossarchus obscurus","A","TEAMS_KRP","G",3,1250,1,1,4.29,-999,-999
"Euoticus pallidus","A","TEAMS_KRP","Ar",3,230,1,0,-999,-999,-999
"Philantomba monticola","B","TEAMS_KRP","G",3,4896.05,1,0,0.98,-999,1.9
"Mandrillus leucophaeus","B","TEAMS_KRP","S",5,14999.96,0,1,1.01,22.5,17
"Potamochoerus porcus","B","TEAMS_KRP","G",4,70000.32,1,0,3,28.5,10.56
"Loxodonta africana","B","TEAMS_KRP","G",1,3940034.28,1,1,0.84,-999,19.5
"Herpestes naso","B","TEAMS_KRP","G",5,2999.99,1,1,-999,-999,-999
"Cephalophus ogilbyi","B","TEAMS_KRP","G",3,20000,1,0,1,-999,-999
"Cercocebus torquatus","B","TEAMS_KRP","Ar",3,7749.97,0,1,1.01,21.1,26.85
"Nandinia binotata","B","TEAMS_KRP","Ar",3,2000,1,0,1.84,-999,-999
"Cercopithecus nictitans","B","TEAMS_KRP","Ar",5,5803.34,0,1,1,13.9,16
"Hyemoschus aquaticus","B","TEAMS_KRP","G",1,10850.01,0,1,1.22,-999,1
"Cephalophus silvicultor","B","TEAMS_KRP","G",3,72500.33,1,0,1,-999,1
"Bdeogale nigripes","B","TEAMS_KRP","G",3,2500,1,0,1,-999,-999
"Civettictis civetta","B","TEAMS_KRP","G",6,11999.97,1,0,2.31,-999,-999
"Atilax paludinosus","B","TEAMS_KRP","G",4,3299.97,1,0,2,-999,-999
"Pan troglodytes","B","TEAMS_KRP","S",3,42500,0,1,1.05,45,50
"Cercopithecus mona","B","TEAMS_KRP","Ar",5,4208.33,0,1,1,-999,-999
