"name","frq","year"
"Eulemur rufifrons","3","2020"
"Microgale majori","4","2016"
"Cheirogaleus grovesi","1","2020"
"Avahi peyrierasi","3","2020"
"Rhynchocyon udzungwensis","2","2015"
"Hylomyscus arcimontensis","1","2017"
"Acomys ngurui","1","2019"
"Paragalago zanzibaricus","7","2020"
"Paragalago orinus","4","2021"
"Heterogeomys cherriei","1","2016"
"Marmosa alstoni","4","2016"
"Handleyomys alfaroi","3","2016"
"Coendou mexicanus","3","2016"
"Nephelomys devius","3","2016"
"Pithecia inusta","2","2021"
"Leontocebus leucogenys","6","2020"
"Leontocebus tripartitus","6","2020"
