"name","frq","year","IUCN_cat"
"Neotamias amoenus","3","2016","LC"
"Dendrohyrax validus","2","2015","NT"
"Ictidomys tridecemlineatus","3","2016","LC"
"Poliocitellus franklinii","4","2016","LC"
"Phataginus tetradactyla","4","2019","VU"
"Smutsia gigantea","4","2019","EN"
"Phataginus tricuspis","4","2019","EN"
"Neotamias minimus","3","2016","LC"
"Erythrocebus baumstarki","1","2020","CR"
"Muntiacus montanus","2","2016","DD"
"Neofelis diardi","2","2015","VU"
"Cephalopachus bancanus","4","2020","VU"
"Presbytis mitrata","2","2020","VU"
"Galeopterus variegatus","2","2008","LC"
"Transandinomys talamancae","3","2017","LC"
"Coendou quichua","2","2016","DD"
"Aotus zonalis","3","2021","NT"
"Sylvilagus gabbi","1","2019","LC"
"Bassaricyon medius","2","2020","LC"
"Transandinomys bolivaris","3","2016","LC"
"Cebus imitator","2","2021","VU"
"Allochrocebus lhoesti","9","2019","VU"
"Caracal aurata","5","2015","VU"
"Galagoides demidoff","6","2019","LC"
"Hylomyscus vulcanorum","1","2019","LC"
"Dendromus kivu","4","2017","LC"
"Galagoides thomasi","7","2019","LC"
"Perodicticus ibeanus","3","2019","LC"
"Aonyx congicus","5","2015","NT"
"Marmosa demerarae","4","2015","LC"
"Toromys grandis","3","2016","LC"
"Alouatta discolor","5","2021","VU"
"Saimiri collinsi","1","2020","LC"
"Mico argentatus","5","2021","LC"
"Hylaeamys megacephalus","3","2016","LC"
"Dasyprocta croconota","1","2016","DD"
"Leontocebus fuscicollis","2","2021","LC"
"Monodelphis ronaldi","2","2015","LC"
"Cebus cuscinus","8","2021","NT"
"Plecturocebus urubambensis","1","2020","LC"
"Leontocebus weddelli","1","2020","LC"
"Monodelphis peruviana","1","2016","LC"
"Dasyprocta variegata","1","2016","DD"
"Euryoryzomys nitidus","3","2016","LC"
"Cebus castaneus","3","2018","LC"
"Coendou melanurus","2","2016","LC"
"Chiropotes sagulatus","1","2020","LC"
"Perodicticus edwardsi","3","2019","LC"
"Sciurocheirus alleni","4","2020","NT"
"Pithecia chrysocephala","5","2018","LC"
"Biswamoyopterus laoensis","1","2017","DD"
"Philander mondolfii","3","2016","LC"
"Piliocolobus oustaleti","8","2020","VU"
"Huetia leucorhina","4","2015","DD"
"Sciurocheirus gabonensis","2","2019","LC"
"Hylomyscus walterverheyeni","1","2016","LC"
"Maxomys tajuddinii","2","2020","LC"
"Eulemur rufifrons","3","2020","VU"
"Microgale majori","4","2016","LC"
"Cheirogaleus grovesi","1","2020","DD"
"Avahi peyrierasi","3","2020","VU"
"Rhynchocyon udzungwensis","2","2015","VU"
"Hylomyscus arcimontensis","1","2017","LC"
"Acomys ngurui","1","2019","LC"
"Paragalago zanzibaricus","7","2020","NT"
"Paragalago orinus","4","2021","VU"
"Heterogeomys cherriei","1","2016","LC"
"Marmosa alstoni","4","2016","LC"
"Handleyomys alfaroi","3","2016","LC"
"Coendou mexicanus","3","2016","LC"
"Nephelomys devius","3","2016","LC"
"Pithecia inusta","2","2021","LC"
"Leontocebus leucogenys","6","2020","LC"
"Leontocebus tripartitus","6","2020","NT"
